"Id";"IntentId";"Text"
1;1;"hello"
2;1;"hi"
3;1;"hey"
4;1;"good morning"
5;1;"good afternoon"
6;1;"good night"
7;1;"good evening"
8;1;"howdy"
9;1;"greetings"
10;1;"greeting"
11;1;"salutation"
12;1;"nice to meet you"
13;1;"pleased to meet you"
14;1;"yo"
15;1;"what's up"
16;1;"how's it going"
17;1;"long time no see"
18;1;"hey there"
19;1;"hiya"
20;1;"good to see you"
21;1;"what's new"
22;1;"how are you"
23;1;"what’s happening"
24;1;"what’s going on"
25;1;"sup"
26;1;"aloha"
27;1;"good day"
28;1;"cheerio"
29;1;"hey ho"
30;1;"top of the morning to you"
31;1;"hello there"
32;1;"hey you"
33;1;"hello my friend"
34;1;"good to meet you"
35;1;"hey buddy"
36;1;"nice to meet you"
37;1;"how do you do"
38;1;"what's popping"
39;1;"what's cracking"
40;1;"hi there"
41;1;"what's good"
42;1;"what's cooking"
43;1;"what's happening"
44;1;"what's new"
45;1;"what's shaking"
46;1;"how's everything"
47;1;"how's life"
48;1;"how's your day"
49;1;"howdy-do"
50;1;"yoohoo"
51;1;"hola"
52;1;"konnichiwa"
